period,year,month,date,weekday,weekday_name,is_weekend,demand_count,zone_hour_records
2009-06,2009,6,2009-06-02,1,Tuesday,False,1045,605
2009-06,2009,6,2009-06-03,2,Wednesday,False,1176,704
2009-06,2009,6,2009-06-04,3,Thursday,False,1210,715
2009-06,2009,6,2009-06-05,4,Friday,False,1210,705
2009-06,2009,6,2009-06-06,5,Saturday,True,1085,646
2009-06,2009,6,2009-06-07,6,Sunday,True,1044,631
2009-06,2009,6,2009-06-08,0,Monday,False,1112,693
2009-06,2009,6,2009-06-09,1,Tuesday,False,1159,706
2009-06,2009,6,2009-06-10,2,Wednesday,False,1198,712
2009-06,2009,6,2009-06-11,3,Thursday,False,1167,689
2009-06,2009,6,2009-06-12,4,Friday,False,1262,732
2009-06,2009,6,2009-06-13,5,Saturday,True,1218,702
2009-06,2009,6,2009-06-14,6,Sunday,True,1043,641
2009-06,2009,6,2009-06-15,0,Monday,False,1147,685
2009-06,2009,6,2009-06-16,1,Tuesday,False,1216,713
2009-06,2009,6,2009-06-17,2,Wednesday,False,1111,676
2009-06,2009,6,2009-06-18,3,Thursday,False,1195,723
2009-06,2009,6,2009-06-19,4,Friday,False,1265,710
2009-06,2009,6,2009-06-20,5,Saturday,True,1127,658
2009-06,2009,6,2009-06-21,6,Sunday,True,992,612
2009-06,2009,6,2009-06-22,0,Monday,False,1041,646
2009-06,2009,6,2009-06-23,1,Tuesday,False,1128,692
2009-06,2009,6,2009-06-24,2,Wednesday,False,1125,661
2009-06,2009,6,2009-06-25,3,Thursday,False,1125,703
2009-06,2009,6,2009-06-26,4,Friday,False,1201,690
2009-06,2009,6,2009-06-27,5,Saturday,True,1018,631
2009-06,2009,6,2009-06-28,6,Sunday,True,1025,623
2009-06,2009,6,2009-06-29,0,Monday,False,1161,712
2009-06,2009,6,2009-06-30,1,Tuesday,False,1289,728
2009-07,2009,7,2009-07-01,2,Wednesday,False,1188,700
2009-07,2009,7,2009-07-02,3,Thursday,False,1243,731
2009-07,2009,7,2009-07-03,4,Friday,False,1305,717
2009-07,2009,7,2009-07-04,5,Saturday,True,1291,713
2009-07,2009,7,2009-07-05,6,Sunday,True,1077,643
2009-07,2009,7,2009-07-06,0,Monday,False,1095,697
2009-07,2009,7,2009-07-07,1,Tuesday,False,1159,696
