period,year,month,zone_id,service_category,sample_demand_count,sample_event_rows,sample_based
2013-07,2013,7,K3,Directed Patrol,13,13,True
2012-09,2012,9,K3,Directed Patrol,13,13,True
2013-06,2013,6,K3,Directed Patrol,11,11,True
2013-01,2013,1,K3,Directed Patrol,10,10,True
2012-07,2012,7,K3,Directed Patrol,10,10,True
2014-02,2014,2,B2,Traffic,10,10,True
2019-12,2019,12,K2,Premise Checks,9,9,True
2016-12,2016,12,K3,Intoxication & Liquor Violations,9,9,True
2012-11,2012,11,M3,Directed Patrol,9,9,True
2012-10,2012,10,K3,Directed Patrol,9,9,True
2018-11,2018,11,F1,Directed Patrol,8,8,True
2013-01,2013,1,E2,Directed Patrol,8,8,True
2012-09,2012,9,G2,Directed Patrol,8,8,True
2013-02,2013,2,M2,Directed Patrol,8,8,True
2013-03,2013,3,K3,Directed Patrol,8,8,True
2012-11,2012,11,K3,Directed Patrol,8,8,True
2012-09,2012,9,E2,Directed Patrol,8,8,True
2013-04,2013,4,K3,Directed Patrol,8,8,True
2017-08,2017,8,M3,Premise Checks,8,8,True
2019-01,2019,1,F2,Directed Patrol,8,8,True
2013-04,2013,4,M3,Directed Patrol,8,8,True
2016-02,2016,2,M3,Premise Checks,8,8,True
2020-04,2020,4,F1,Directed Patrol,8,8,True
2012-12,2012,12,M2,Intoxication & Liquor Violations,7,7,True
2011-12,2011,12,K3,Intoxication & Liquor Violations,7,7,True
2013-03,2013,3,E2,Predictive Policing,7,7,True
2015-01,2015,1,K3,Intoxication & Liquor Violations,7,7,True
2017-10,2017,10,Q3,Traffic,7,7,True
2016-05,2016,5,K3,Premise Checks,7,7,True
2009-06,2009,6,B2,Traffic,7,7,True
2023-02,2023,2,M3,Premise Checks,7,7,True
2013-02,2013,2,K2,Directed Patrol,7,7,True
2018-01,2018,1,O2,Premise Checks,7,7,True
2012-12,2012,12,E2,Directed Patrol,7,7,True
2013-04,2013,4,K3,Intoxication & Liquor Violations,7,7,True
2019-05,2019,5,E2,Premise Checks,7,7,True
2019-08,2019,8,E2,Premise Checks,7,7,True
2020-03,2020,3,G2,Premise Checks,7,7,True
2018-01,2018,1,E1,Traffic,7,7,True
2011-06,2011,6,K3,Intoxication & Liquor Violations,7,7,True
2012-03,2012,3,E1,Premise Checks,7,7,True
2018-11,2018,11,F2,Directed Patrol,7,7,True
2015-08,2015,8,E2,Premise Checks,7,7,True
2012-04,2012,4,E2,Premise Checks,7,7,True
2011-03,2011,3,G3,Premise Checks,7,7,True
2012-10,2012,10,E2,Directed Patrol,7,7,True
2020-04,2020,4,W1,Directed Patrol,7,7,True
2016-08,2016,8,E2,Premise Checks,7,7,True
2016-05,2016,5,W1,Premise Checks,7,7,True
2012-10,2012,10,U2,Directed Patrol,7,7,True
2017-03,2017,3,K3,Intoxication & Liquor Violations,7,7,True
2022-03,2022,3,M3,Premise Checks,7,7,True
2020-05,2020,5,W1,Directed Patrol,7,7,True
2018-03,2018,3,C1,Premise Checks,7,7,True
2015-02,2015,2,K3,Intoxication & Liquor Violations,6,6,True
2015-09,2015,9,O1,Premise Checks,6,6,True
2020-02,2020,2,O1,Directed Patrol,6,6,True
2014-12,2014,12,K3,Intoxication & Liquor Violations,6,6,True
2017-03,2017,3,Q2,Traffic,6,6,True
